jahr,demographie_szenario,rentenalter_szenario,regelaltersgrenze,verschobene_kohorten_mio,personen_20_66_adj_mio,personen_ab_rentenalter_adj_mio,ausgaben_adj_mrd_euro,beitragsbasis_reform_adj_mrd_euro,bestandsschutz_zuschuss_mrd_euro,sonstige_einnahmen_mrd_euro,erforderlicher_beitragssatz,notiz
2032,alt,daenemark_2040,68.400,1.330,49.170,18.083,507.535,2033.389,88.574,3.797,0.204174,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2033,alt,status_quo_67,67.000,0.000,47.419,19.727,569.198,2029.784,83.992,3.892,0.237126,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2033,alt,finnland_ratio_light,67.750,0.713,48.132,19.015,548.640,2060.283,83.992,3.892,0.223637,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2033,alt,daenemark_2040,68.600,1.520,48.939,18.207,525.341,2094.848,83.992,3.892,0.208825,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2034,alt,status_quo_67,67.000,0.000,46.999,20.042,594.466,2082.156,79.464,3.989,0.245425,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2034,alt,finnland_ratio_light,67.875,0.831,47.831,19.210,569.810,2118.982,79.464,3.989,0.229524,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2034,alt,daenemark_2040,68.800,1.710,48.709,18.332,543.745,2157.912,79.464,3.989,0.213305,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2035,alt,status_quo_67,67.000,0.000,46.579,20.356,620.703,2135.510,75.003,4.089,0.253622,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2035,alt,finnland_ratio_light,68.000,0.950,47.529,19.406,591.736,2179.064,75.003,4.089,0.235259,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2035,alt,daenemark_2040,69.000,1.900,48.479,18.456,562.769,2222.618,75.003,4.089,0.217616,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2036,alt,status_quo_67,67.000,0.000,46.159,20.671,647.943,2171.049,70.625,4.191,0.263987,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2036,alt,finnland_ratio_light,68.100,1.045,47.204,19.626,615.187,2220.199,70.625,4.191,0.243389,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2036,alt,daenemark_2040,69.200,2.090,48.249,18.581,582.431,2269.350,70.625,4.191,0.223683,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2037,alt,status_quo_67,67.000,0.000,45.739,20.985,676.222,2206.996,66.341,4.296,0.274394,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2037,alt,finnland_ratio_light,68.200,1.140,46.879,19.845,639.488,2262.003,66.341,4.296,0.251481,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2037,alt,daenemark_2040,69.400,2.280,48.019,18.705,602.753,2317.010,66.341,4.296,0.229657,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2038,alt,status_quo_67,67.000,0.000,45.319,21.300,705.577,2243.346,62.165,4.403,0.284846,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2038,alt,finnland_ratio_light,68.300,1.235,46.554,20.065,664.667,2304.480,62.165,4.403,0.259537,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2038,alt,daenemark_2040,69.600,2.470,47.789,18.830,623.757,2365.614,62.165,4.403,0.235536,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2039,alt,status_quo_67,67.000,0.000,45.062,21.316,725.865,2288.387,58.108,4.513,0.289831,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2039,alt,finnland_ratio_light,68.400,1.330,46.392,19.986,680.575,2355.928,58.108,4.513,0.262297,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2039,alt,daenemark_2040,69.800,2.660,47.722,18.656,635.284,2423.469,58.108,4.513,0.236299,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2040,alt,status_quo_67,67.000,0.000,44.805,21.331,743.105,2334.253,54.176,4.626,0.293157,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2040,alt,finnland_ratio_light,68.500,1.425,46.230,19.906,693.463,2408.492,54.176,4.626,0.263510,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2040,alt,daenemark_2040,70.000,2.850,47.655,18.481,643.821,2482.731,54.176,4.626,0.235635,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2041,alt,status_quo_67,67.000,0.000,44.549,21.347,760.753,2380.960,50.374,4.742,0.296367,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2041,alt,finnland_ratio_light,68.600,1.520,46.069,19.827,706.584,2462.198,50.374,4.742,0.264588,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2041,alt,daenemark_2040,70.067,2.913,47.462,18.434,656.928,2536.667,50.374,4.742,0.237246,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2042,alt,status_quo_67,67.000,0.000,44.292,21.363,778.820,2428.518,46.704,4.860,0.299465,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2042,alt,finnland_ratio_light,68.700,1.615,45.907,19.748,719.941,2517.068,46.704,4.860,0.265538,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2042,alt,daenemark_2040,70.133,2.977,47.268,18.386,670.298,2591.728,46.704,4.860,0.238734,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2043,alt,status_quo_67,67.000,0.000,44.035,21.378,797.315,2476.941,43.166,4.982,0.302457,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2043,alt,finnland_ratio_light,68.800,1.710,45.745,19.668,733.539,2573.127,43.166,4.982,0.266365,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2043,alt,daenemark_2040,70.200,3.040,47.075,18.338,683.936,2647.939,43.166,4.982,0.240107,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2044,alt,status_quo_67,67.000,0.000,43.778,21.394,816.250,2526.241,39.759,5.106,0.305349,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2044,alt,finnland_ratio_light,68.900,1.805,45.583,19.589,747.382,2630.400,39.759,5.106,0.267076,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2044,alt,daenemark_2040,70.267,3.103,46.881,18.290,697.846,2705.321,39.759,5.106,0.241369,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2045,alt,status_quo_67,67.000,0.000,43.521,21.409,835.633,2576.433,36.483,5.234,0.308146,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2045,alt,finnland_ratio_light,69.000,1.900,45.421,19.509,761.474,2688.912,36.483,5.234,0.267676,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2045,alt,daenemark_2040,70.333,3.167,46.688,18.243,712.035,2763.898,36.483,5.234,0.242526,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2046,alt,status_quo_67,67.000,0.000,43.264,21.425,855.477,2627.195,33.337,5.365,0.310893,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2046,alt,finnland_ratio_light,69.100,1.995,45.259,19.430,775.819,2748.339,33.337,5.365,0.268205,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2046,alt,daenemark_2040,70.400,3.230,46.494,18.195,726.506,2823.334,33.337,5.365,0.243615,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2047,alt,status_quo_67,67.000,0.000,43.008,21.441,875.791,2678.861,30.322,5.499,0.313555,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2047,alt,finnland_ratio_light,69.200,2.090,45.098,19.351,790.420,2809.043,30.322,5.499,0.268632,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2047,alt,daenemark_2040,70.467,3.293,46.301,18.147,741.267,2883.997,30.322,5.499,0.244607,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2048,alt,status_quo_67,67.000,0.000,42.751,21.456,896.587,2731.445,27.441,5.636,0.316137,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2048,alt,finnland_ratio_light,69.300,2.185,44.936,19.271,805.283,2871.050,27.441,5.636,0.268963,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2048,alt,daenemark_2040,70.533,3.357,46.107,18.100,756.323,2945.910,27.441,5.636,0.245508,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2049,alt,status_quo_67,67.000,0.000,42.494,21.472,917.877,2784.958,24.700,5.777,0.318640,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2049,alt,finnland_ratio_light,69.400,2.280,44.774,19.192,820.411,2934.385,24.700,5.777,0.269199,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2049,alt,daenemark_2040,70.600,3.420,45.914,18.052,771.679,3009.098,24.700,5.777,0.246320,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2050,alt,status_quo_67,67.000,0.000,42.237,21.488,939.671,2839.415,22.104,5.921,0.321068,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2050,alt,finnland_ratio_light,69.500,2.375,44.612,19.113,835.810,2999.076,22.104,5.921,0.269344,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2050,alt,daenemark_2040,70.667,3.483,45.720,18.004,787.341,3073.585,22.104,5.921,0.247046,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2051,alt,status_quo_67,67.000,0.000,41.980,21.503,961.982,2894.828,19.663,6.070,0.323422,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2051,alt,finnland_ratio_light,69.600,2.470,44.450,19.033,851.482,3065.152,19.663,6.070,0.269399,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2051,alt,daenemark_2040,70.733,3.547,45.527,17.956,803.316,3139.396,19.663,6.070,0.247686,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2052,alt,status_quo_67,67.000,0.000,41.723,21.519,984.823,2951.210,17.384,6.221,0.325703,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2052,alt,finnland_ratio_light,69.700,2.565,44.288,18.954,867.434,3132.641,17.384,6.221,0.269366,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2052,alt,daenemark_2040,70.800,3.610,45.333,17.909,819.609,3206.556,17.384,6.221,0.248242,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2053,alt,status_quo_67,67.000,0.000,41.466,21.534,1008.206,3008.575,15.279,6.377,0.327913,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2053,alt,finnland_ratio_light,69.800,2.660,44.126,18.874,883.669,3201.570,15.279,6.377,0.269247,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2053,alt,daenemark_2040,70.867,3.673,45.140,17.861,836.226,3275.092,15.279,6.377,0.248717,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2054,alt,status_quo_67,67.000,0.000,41.210,21.550,1032.143,3066.936,13.356,6.536,0.330053,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2054,alt,finnland_ratio_light,69.900,2.755,43.965,18.795,900.191,3271.971,13.356,6.536,0.269042,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2054,alt,daenemark_2040,70.933,3.737,44.946,17.813,853.174,3345.030,13.356,6.536,0.249110,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2055,alt,status_quo_67,67.000,0.000,40.953,21.566,1056.648,3126.306,11.620,6.700,0.332126,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2055,alt,finnland_ratio_light,70.000,2.850,43.803,18.716,917.007,3343.873,11.620,6.700,0.268756,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2055,alt,daenemark_2040,71.000,3.800,44.753,17.766,870.460,3416.395,11.620,6.700,0.249427,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2056,alt,status_quo_67,67.000,0.000,40.696,21.581,1081.734,3186.697,10.073,6.867,0.334137,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2056,alt,finnland_ratio_light,70.100,2.945,43.641,18.636,934.119,3417.306,10.073,6.867,0.268393,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2056,alt,daenemark_2040,71.067,3.863,44.559,17.718,888.089,3489.216,10.073,6.867,0.249669,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2057,alt,status_quo_67,67.000,0.000,40.439,21.597,1107.415,3248.125,8.712,7.039,0.336090,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2057,alt,finnland_ratio_light,70.200,3.040,43.479,18.557,951.534,3492.302,8.712,7.039,0.267956,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2057,alt,daenemark_2040,71.133,3.927,44.366,17.670,906.069,3563.520,8.712,7.039,0.249842,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2058,alt,status_quo_67,67.000,0.000,40.182,21.613,1133.705,3310.601,7.533,7.215,0.337992,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2058,alt,finnland_ratio_light,70.300,3.135,43.317,18.478,969.255,3568.893,7.533,7.215,0.267452,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2058,alt,daenemark_2040,71.200,3.990,44.172,17.623,924.406,3639.336,7.533,7.215,0.249952,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2059,alt,status_quo_67,67.000,0.000,39.925,21.628,1160.619,3374.139,6.524,7.395,0.339850,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2059,alt,finnland_ratio_light,70.400,3.230,43.155,18.398,987.289,3647.110,6.524,7.395,0.266888,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2059,alt,daenemark_2040,71.267,4.053,43.979,17.575,943.107,3716.691,6.524,7.395,0.250004,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2060,alt,status_quo_67,67.000,0.000,39.668,21.644,1188.171,3438.752,5.670,7.580,0.341671,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2060,alt,finnland_ratio_light,70.500,3.325,42.993,18.319,1005.639,3726.987,5.670,7.580,0.266271,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2060,alt,daenemark_2040,71.333,4.117,43.785,17.527,962.179,3795.614,5.670,7.580,0.250007,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2061,alt,status_quo_67,67.000,0.000,39.412,21.659,1216.376,3504.454,4.954,7.770,0.343464,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2061,alt,finnland_ratio_light,70.600,3.420,42.832,18.239,1024.311,3808.558,4.954,7.770,0.265609,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2061,alt,daenemark_2040,71.400,4.180,43.592,17.479,981.630,3876.136,4.954,7.770,0.249967,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2062,alt,status_quo_67,67.000,0.000,39.155,21.675,1245.250,3571.257,4.358,7.964,0.345237,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2062,alt,finnland_ratio_light,70.700,3.515,42.670,18.160,1043.310,3891.856,4.358,7.964,0.264909,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2062,alt,daenemark_2040,71.467,4.243,43.398,17.432,1001.467,3958.286,4.358,7.964,0.249892,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2063,alt,status_quo_67,67.000,0.000,38.898,21.691,1274.809,3639.176,3.863,8.163,0.346997,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2063,alt,finnland_ratio_light,70.800,3.610,42.508,18.081,1062.641,3976.917,3.863,8.163,0.264178,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2063,alt,daenemark_2040,71.533,4.307,43.205,17.384,1021.696,4042.095,3.863,8.163,0.249789,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2064,alt,status_quo_67,67.000,0.000,38.641,21.706,1305.069,3708.222,3.452,8.367,0.348752,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2064,alt,finnland_ratio_light,70.900,3.705,42.346,18.001,1082.310,4063.776,3.452,8.367,0.263423,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2064,alt,daenemark_2040,71.600,4.370,43.011,17.336,1042.327,4127.593,3.452,8.367,0.249663,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2065,alt,status_quo_67,67.000,0.000,38.384,21.722,1336.047,3778.410,3.109,8.576,0.350508,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2065,alt,finnland_ratio_light,71.000,3.800,42.184,17.922,1102.321,4152.469,3.109,8.576,0.262647,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2065,alt,daenemark_2040,71.667,4.433,42.818,17.289,1063.366,4214.812,3.109,8.576,0.249520,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2066,alt,status_quo_67,67.000,0.000,38.127,21.738,1367.759,3849.752,2.821,8.790,0.352269,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2066,alt,finnland_ratio_light,71.000,3.800,41.927,17.938,1128.657,4233.440,2.821,8.790,0.263862,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2066,alt,daenemark_2040,71.733,4.497,42.624,17.241,1084.822,4303.783,2.821,8.790,0.249364,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2067,alt,status_quo_67,67.000,0.000,37.871,21.753,1400.224,3922.260,2.576,9.010,0.354040,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2067,alt,finnland_ratio_light,71.000,3.800,41.671,17.953,1155.622,4315.827,2.576,9.010,0.265079,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2067,alt,daenemark_2040,71.800,4.560,42.431,17.193,1106.702,4394.540,2.576,9.010,0.249199,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2068,alt,status_quo_67,67.000,0.000,37.614,21.769,1433.458,3995.948,2.366,9.236,0.355824,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2068,alt,finnland_ratio_light,71.000,3.800,41.414,17.969,1183.230,4399.647,2.366,9.236,0.266301,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2068,alt,daenemark_2040,71.867,4.623,42.237,17.145,1129.014,4487.115,2.366,9.236,0.249027,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2069,alt,status_quo_67,67.000,0.000,37.357,21.784,1467.480,4070.829,2.184,9.466,0.357625,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2069,alt,finnland_ratio_light,71.000,3.800,41.157,17.984,1211.497,4484.921,2.184,9.466,0.267529,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2069,alt,daenemark_2040,71.933,4.687,42.044,17.098,1151.768,4581.542,2.184,9.466,0.248850,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2070,alt,status_quo_67,67.000,0.000,37.100,21.800,1502.308,4146.915,2.024,9.703,0.359443,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2070,alt,finnland_ratio_light,71.000,3.800,40.900,18.000,1240.438,4571.666,2.024,9.703,0.268767,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2070,alt,daenemark_2040,72.000,4.750,41.850,17.050,1174.971,4677.854,2.024,9.703,0.248670,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
