jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2037,versorgungsdienststellen,Versorgungsdienststellen,1.813,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2038,kindererziehungszeiten,Bund,26.395,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2038,pflegezeiten,Pflegeversicherung,7.764,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2038,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,7.836,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2038,versorgungsdienststellen,Versorgungsdienststellen,1.858,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2039,kindererziehungszeiten,Bund,27.055,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2039,pflegezeiten,Pflegeversicherung,7.958,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2039,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.032,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2039,versorgungsdienststellen,Versorgungsdienststellen,1.904,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2040,kindererziehungszeiten,Bund,27.731,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2040,pflegezeiten,Pflegeversicherung,8.157,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2040,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.232,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2040,versorgungsdienststellen,Versorgungsdienststellen,1.952,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2041,kindererziehungszeiten,Bund,28.424,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2041,pflegezeiten,Pflegeversicherung,8.361,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2041,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.438,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2041,versorgungsdienststellen,Versorgungsdienststellen,2.001,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2042,kindererziehungszeiten,Bund,29.135,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2042,pflegezeiten,Pflegeversicherung,8.570,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2042,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.649,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
