jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,alter,bevoelkerung_altersjahr_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbstaetigenquote_65plus,effektive_beitragszahler_mio
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,67,2.029,1.000,2.029,0.102131,0.176
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,68,2.027,1.000,2.027,0.102131,0.176
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,69,1.973,1.000,1.973,0.102131,0.171
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,70,1.941,0.667,1.294,0.102131,0.112
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,71,1.813,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,72,1.746,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,67,1.923,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,68,1.918,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,69,1.933,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,70,1.986,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,71,1.961,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,72,1.953,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,67,1.923,1.000,1.923,0.102131,0.167
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,68,1.918,1.000,1.918,0.102131,0.167
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,69,1.933,1.000,1.933,0.102131,0.168
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,70,1.986,1.000,1.986,0.102131,0.172
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,71,1.961,0.500,0.981,0.102131,0.085
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,72,1.953,0.000,0.000,0.102131,0.000
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,67,1.923,1.000,1.923,0.102131,0.167
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,68,1.918,1.000,1.918,0.102131,0.167
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,69,1.933,1.000,1.933,0.102131,0.168
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,70,1.986,1.000,1.986,0.102131,0.172
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,71,1.961,1.000,1.961,0.102131,0.170
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,72,1.953,0.000,0.000,0.102131,0.000
