jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,alter,bevoelkerung_altersjahr_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbstaetigenquote_65plus,effektive_beitragszahler_mio
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.800,70,2.220,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.800,71,2.277,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.800,72,2.285,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,67,2.026,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,68,2.028,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,69,1.978,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,70,1.952,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,71,1.826,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,72,1.763,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,67,2.026,1.000,2.026,0.102131,0.176
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,68,2.028,1.000,2.028,0.102131,0.176
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,69,1.978,0.500,0.989,0.102131,0.086
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,70,1.952,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,71,1.826,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,72,1.763,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,67,2.026,1.000,2.026,0.102131,0.176
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,68,2.028,1.000,2.028,0.102131,0.176
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,69,1.978,1.000,1.978,0.102131,0.172
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,70,1.952,0.667,1.301,0.102131,0.113
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,71,1.826,0.000,0.000,0.102131,0.000
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,72,1.763,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,67,1.838,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,68,1.845,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,69,1.873,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,70,1.940,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,71,1.927,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,72,1.932,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,67,1.838,1.000,1.838,0.102131,0.160
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,68,1.845,1.000,1.845,0.102131,0.160
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,69,1.873,1.000,1.873,0.102131,0.163
