stichtag,rentenart_gruppe,rentenart_detail,system,geschlecht,alter_label,alter_von,alter_bis,anzahl_renten,quelle,notiz
2024-12-31,hinterbliebenenrente,grosse_witwenrente,rv_gesamt,weiblich,100 bis 104,100,104,13235,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,grosse_witwerrente,rv_gesamt,maennlich,100 bis 104,100,104,882,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,halbwaisenrente,rv_gesamt,unbekannt,100 bis 104,100,104,3,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Geschlecht bei Waisen/Erziehungsrenten im Tabellenband nicht getrennt ausgewiesen.
2024-12-31,hinterbliebenenrente,grosse_witwenrente,rv_gesamt,weiblich,105 und älter,105,,606,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,grosse_witwerrente,rv_gesamt,maennlich,105 und älter,105,,24,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,halbwaisenrente,rv_gesamt,unbekannt,105 und älter,105,,1,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Geschlecht bei Waisen/Erziehungsrenten im Tabellenband nicht getrennt ausgewiesen.
2024-12-31,hinterbliebenenrente,kleine_witwenrente,rv_gesamt,weiblich,Alter nicht erfasst,,,57,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,grosse_witwenrente,rv_gesamt,weiblich,Alter nicht erfasst,,,165,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,kleine_witwerrente,rv_gesamt,maennlich,Alter nicht erfasst,,,7,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,hinterbliebenenrente,halbwaisenrente,rv_gesamt,unbekannt,Alter nicht erfasst,,,266,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Geschlecht bei Waisen/Erziehungsrenten im Tabellenband nicht getrennt ausgewiesen.
2024-12-31,hinterbliebenenrente,vollwaisenrente,rv_gesamt,unbekannt,Alter nicht erfasst,,,4,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Geschlecht bei Waisen/Erziehungsrenten im Tabellenband nicht getrennt ausgewiesen.
2024-12-31,alle_renten,knappschaft_aggregate_alle_renten,knappschaft_bahn_see,gesamt,alle,,,1570011,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
2024-12-31,erwerbsminderungsrente,knappschaft_aggregate_erwerbsminderungsrente,knappschaft_bahn_see,gesamt,alle,,,75424,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
2024-12-31,altersrente,knappschaft_aggregate_altersrente,knappschaft_bahn_see,gesamt,alle,,,942690,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
2024-12-31,hinterbliebenenrente,knappschaft_aggregate_witwenrente,knappschaft_bahn_see,gesamt,alle,,,518894,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
2024-12-31,hinterbliebenenrente,knappschaft_aggregate_witwerrente,knappschaft_bahn_see,gesamt,alle,,,20050,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
2024-12-31,hinterbliebenenrente,knappschaft_aggregate_waisenrente,knappschaft_bahn_see,gesamt,alle,,,12801,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
2024-12-31,hinterbliebenenrente,knappschaft_aggregate_erziehungsrente,knappschaft_bahn_see,gesamt,alle,,,152,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Nur aggregierte Trennung nach Träger; keine Alters-/Geschlechtsstruktur im Tabellenband.
